"Year";"Sex";"Age";"County";"PopJan1";"PopMidYear"
1990;"Nõ";10;"Fejér megye";18241;17879
1990;"Nõ";10;"Komárom-Esztergom megye";13179;12790
1990;"Nõ";10;"Veszprém megye";16370;15960,5
1990;"Nõ";10;"Gyõr-Moson-Sopron megye";18344;17836,5
1990;"Nõ";10;"Vas megye";11076;10850
1990;"Nõ";10;"Zala megye";12235;11944,5
1990;"Nõ";10;"Baranya megye";16341;15929,5
1990;"Nõ";10;"Somogy megye";13664;13294
1990;"Nõ";10;"Tolna megye";10338;10021,5
1990;"Nõ";10;"Borsod-Abaúj-Zemplén megye";31966;31044
1990;"Nõ";10;"Heves megye";13482;13119,5
1990;"Nõ";10;"Nógrád megye";8757;8524,5
1990;"Nõ";10;"Hajdú-Bihar megye";23106;22549,5
1990;"Nõ";10;"Szabolcs-Szatmár-Bereg megye";25829;25091,5
1990;"Nõ";10;"Jász-Nagykun-Szolnok megye";17738;17279
1990;"Nõ";10;"Bács-Kiskun megye";21677;21117
1990;"Nõ";10;"Békés megye";16259;15751,5
1990;"Nõ";10;"Csongrád megye";16972;16501
1990;"Nõ";15;"Budapest";70011;72419
1990;"Nõ";15;"Pest megye";34828;36088
1990;"Nõ";15;"Fejér megye";15166;15634,5
1990;"Nõ";15;"Komárom-Esztergom megye";11227;11561,5
1990;"Nõ";15;"Veszprém megye";13781;14274
1990;"Nõ";15;"Gyõr-Moson-Sopron megye";15881;16389
1990;"Nõ";15;"Vas megye";9964;10152,5
1990;"Nõ";15;"Zala megye";10416;10772,5
1990;"Nõ";15;"Baranya megye";15346;15810
1990;"Nõ";15;"Somogy megye";11929;12298,5
1990;"Nõ";15;"Tolna megye";8777;9033
1990;"Nõ";15;"Borsod-Abaúj-Zemplén megye";27674;28405
1990;"Nõ";15;"Heves megye";11415;11752
1990;"Nõ";15;"Nógrád megye";7464;7618
1990;"Nõ";15;"Hajdú-Bihar megye";21978;22482
1990;"Nõ";15;"Szabolcs-Szatmár-Bereg megye";23105;23380,5
1990;"Nõ";15;"Jász-Nagykun-Szolnok megye";14874;15367,5
1990;"Nõ";15;"Bács-Kiskun megye";19046;19688
1990;"Nõ";15;"Békés megye";13911;14359
1990;"Nõ";15;"Csongrád megye";16659;17034
1990;"Nõ";20;"Budapest";68988;71003,5
1990;"Nõ";20;"Pest megye";30020;30583
1990;"Nõ";20;"Fejér megye";13367;13661
1990;"Nõ";20;"Komárom-Esztergom megye";9939;10043
1990;"Nõ";20;"Veszprém megye";11951;12027,5
1990;"Nõ";20;"Gyõr-Moson-Sopron megye";12988;13260
1990;"Nõ";20;"Vas megye";8740;8889,5
1990;"Nõ";20;"Zala megye";8980;9006,5
1990;"Nõ";20;"Baranya megye";14097;14281
1990;"Nõ";20;"Somogy megye";10208;10309,5
1990;"Nõ";20;"Tolna megye";7560;7637,5
1990;"Nõ";20;"Borsod-Abaúj-Zemplén megye";23758;23670,5
1990;"Nõ";20;"Heves megye";9740;9921,5
1990;"Nõ";20;"Nógrád megye";6757;6834,5
1990;"Nõ";20;"Hajdú-Bihar megye";19595;19825
1990;"Nõ";20;"Szabolcs-Szatmár-Bereg megye";18921;18955,5
1990;"Nõ";20;"Jász-Nagykun-Szolnok megye";12415;12525,5
1990;"Nõ";20;"Bács-Kiskun megye";16518;16649
1990;"Nõ";20;"Békés megye";11941;12017,5
1990;"Nõ";20;"Csongrád megye";15309;15589
1990;"Nõ";25;"Budapest";56088;56847,5
1990;"Nõ";25;"Pest megye";27413;27131
1990;"Nõ";25;"Fejér megye";12810;12670
1990;"Nõ";25;"Komárom-Esztergom megye";9813;9652
1990;"Nõ";25;"Veszprém megye";11870;11705
1990;"Nõ";25;"Gyõr-Moson-Sopron megye";12057;11922
1990;"Nõ";25;"Vas megye";8016;7916,5
1990;"Nõ";25;"Zala megye";9335;9126,5
1990;"Nõ";25;"Baranya megye";13181;12997,5
1990;"Nõ";25;"Somogy megye";10232;10025
1990;"Nõ";25;"Tolna megye";7586;7468
1990;"Nõ";25;"Borsod-Abaúj-Zemplén megye";23745;23228
1990;"Nõ";25;"Heves megye";9475;9267
1990;"Nõ";25;"Nógrád megye";6837;6680
1990;"Nõ";25;"Hajdú-Bihar megye";17342;17156
1990;"Nõ";25;"Szabolcs-Szatmár-Bereg megye";18208;17798,5
